         4189763 function calls (3931303 primitive calls) in 425.413 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2218/880    0.003    0.000    0.407    0.000 /opt/conda/envs/pytorch/lib/python3.10/contextlib.py:139(__exit__)
      661    0.023    0.000    0.403    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:672(build)
     5964    0.369    0.000    0.401    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:2172(broadcast)
        2    0.000    0.000    0.398    0.199 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:808(graph_capture)
        4    0.000    0.000    0.398    0.099 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:218(graph_capture)
        2    0.000    0.000    0.397    0.199 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/custom_all_reduce.py:167(capture)
        1    0.079    0.079    0.397    0.397 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/custom_all_reduce.py:220(register_graph_buffers)
        1    0.000    0.000    0.394    0.394 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/pynccl.py:19(__init__)
        1    0.368    0.368    0.368    0.368 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/pynccl_wrapper.py:241(ncclCommInitRank)
     3150    0.022    0.000    0.366    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/ops/paged_attn.py:86(forward_decode)
        7    0.000    0.000    0.351    0.050 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:527(send)
        1    0.001    0.001    0.329    0.329 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:418(_apply_top_k_top_p)
        1    0.000    0.000    0.314    0.314 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/engine/llm_engine.py:585(_init_tokenizer)
        1    0.000    0.000    0.314    0.314 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/transformers_utils/tokenizer_group/__init__.py:16(init_tokenizer_from_configs)
        1    0.000    0.000    0.314    0.314 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/transformers_utils/tokenizer_group/__init__.py:32(get_tokenizer_group)
        1    0.000    0.000    0.314    0.314 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/transformers_utils/tokenizer_group/tokenizer_group.py:27(from_config)
        1    0.000    0.000    0.314    0.314 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/transformers_utils/tokenizer_group/tokenizer_group.py:17(__init__)
        1    0.000    0.000    0.313    0.313 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/transformers_utils/tokenizer.py:62(get_tokenizer)
     6893    0.021    0.000    0.301    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/custom_all_reduce.py:245(custom_all_reduce)
